
post,,freitexte->objekttitel,post_title,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ and „freitexte->sonstige_angaben“ will be concatenated into the main property description field (post_content).",,,,,,,,,,
"# „freitexte->objektbeschreibung“, „freitexte->lage“, „freitexte->ausstatt_beschr“ und „freitexte->sonstige_angaben“ werden in im Haupt-Beschreibungsfeld der Immobilie (post_content) zusammengefügt.",,,,,,,,,,
post,,freitexte->objektbeschreibung+,post_content,,,,,,,
post,,freitexte->lage+,post_content,,,,,,,
post,,freitexte->ausstatt_beschr+,post_content,,,,,,,
post,,freitexte->sonstige_angaben+,post_content,,,,,,,
post,,freitexte->dreizeiler,post_excerpt,,,,,,,
,,,,,,,,,,
# Taxonomies,,,,,,,,,,
,,,,,,,,,,
#taxonomy,,objektkategorie->nutzungsart:WOHNEN,no_appropriate_taxonomy_in_houzez,,Living Properties,,Wohnimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:GEWERBE,no_appropriate_taxonomy_in_houzez,,Commercial Properties,,Gewerbeimmobilien,,,
#taxonomy,,objektkategorie->nutzungsart:ANLAGE,no_appropriate_taxonomy_in_houzez,,Investment,,Kapitalanlage,,,
#taxonomy,,objektkategorie->nutzungsart:WAZ,no_appropriate_taxonomy_in_houzez,,Temporary Living,,Wohnen auf Zeit,,,
,,,,,,,,,,
taxonomy,,geo->regionaler_zusatz,property_area,,,,,,,
taxonomy,,geo->ort,property_city,,,,,,,
taxonomy,,geo->bundesland,property_state,,,,,,,
,,,,,,,,,,
taxonomy,,objektkategorie->objektart->zimmer,property_type,,Single Room,Single Rooms,Zimmer,Zimmer,,
taxonomy,,objektkategorie->objektart->wohnung,property_type,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:KEINE_ANGABE,property_type,,Flat,Flats,Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:DACHGESCHOSS,property_type,,Attic Flat,Flats,DG-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:MAISONETTE,property_type,,Maisonette,Flats,Maisonette-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:LOFT-STUDIO-ATELIER,property_type,,Loft / Studio / Atelier,Flats,Loft / Studio / Atelier,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:PENTHOUSE,property_type,,Penthouse Flat,Flats,Penthouse-Wohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:TERRASSEN,property_type,,Terrace Flat,Flats,Terrassenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ETAGE,property_type,,Apartment,Flats,Etagenwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ERDGESCHOSS,property_type,,Ground-floor Flat,Flats,Erdgeschosswohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:SOUTERRAIN,property_type,,Basement Flat,Flats,Souterrainwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:APARTMENT,property_type,,Apartment,Flats,Apartment,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:FERIENWOHNUNG,property_type,,Holiday Flat,Flats,Ferienwohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:GALERIE,property_type,,Gallery Flat,Flats,Galeriewohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ROHDACHBODEN,property_type,,Raw Attic,Flats,Rohdachboden,Wohnungen,,
taxonomy,,objektkategorie->objektart->wohnung:wohnungtyp:ATTIKAWOHNUNG,property_type,,Penthouse Apartment,Flats,Attikawohnung,Wohnungen,,
taxonomy,,objektkategorie->objektart->haus,property_type,,House,Houses,Haus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:KEINE_ANGABE,property_type,,House,Houses,Haus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:REIHENHAUS,property_type,,Row House,Houses,Reihenhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:REIHENEND,property_type,,End Unit,Houses,Reihenendhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:REIHENMITTEL,property_type,,Mid-terrace Town House,Houses,Reihenmittelhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:REIHENECK,property_type,,End Unit,Houses,Reiheneckhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:DOPPELHAUSHAELFTE,property_type,,Semi-detached House,Houses,Doppelhaushälfte,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:EINFAMILIENHAUS,property_type,,Single-family House,Houses,Einfamilienhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:STADTHAUS,property_type,,Town House,Houses,Stadthaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:BUNGALOW,property_type,,Bungalow,Houses,Bungalow,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:VILLA,property_type,,Villa,Houses,Villa,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:RESTHOF,property_type,,Farm,Houses,Resthof,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:BAUERNHAUS,property_type,,Farm House,Houses,Bauernhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:LANDHAUS,property_type,,Country House,Houses,Landhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:SCHLOSS,property_type,,Castle,Houses,Schloss,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:ZWEIFAMILIENHAUS,property_type,,Two Family House,Houses,Zweifamilienhaus,Häuser,1.5.7,2023-10-25
taxonomy,,objektkategorie->objektart->haus:haustyp:MEHRFAMILIENHAUS,property_type,,Multi-family House,Houses,Mehrfamilienhaus,Häuser,,
taxonomy,,objektkategorie->objektart->haus:haustyp:FERIENHAUS,property_type,,Holiday Home,Houses,Ferienhaus,Häuser,,
